Type	Shape	Chr	Start	End	color
ChIP-seq	box	1	1094247	1094330	33a02c
ChIP-seq	box	1	3467118	3467214	33a02c
rainbow-genome	triangle	1	16719666	16719740	984ea3
ChIP-seq	box	1	21187393	21187512	33a02c
RNA-seq	circle	1	34351136	34351251	1f78b4
ChIP-seq	box	1	40992613	40992705	33a02c
RNA-seq	circle	1	43434674	43434794	1f78b4
RNA-seq	circle	1	52211669	52211795	1f78b4
ChIP-seq	box	1	68421788	68421881	33a02c
RNA-seq	circle	1	73987778	73987897	1f78b4
RNA-seq	circle	1	78333078	78333187	1f78b4
RNA-seq	circle	1	93726477	93726597	1f78b4
ChIP-seq	box	1	100519384	100519452	33a02c
ChIP-seq	box	1	109943037	109943112	33a02c
Exome-seq	triangle	1	144090676	144090748	33a02c
lncRNA-seq	circle	1	146132613	146132721	984ea3
Exome-seq	triangle	1	147561289	147561360	33a02c
ChIP-seq	box	1	149784895	149784991	33a02c
ChIP-seq	box	1	154656756	154656845	33a02c
Exome-seq	triangle	1	157378024	157378098	33a02c
Exome-seq	triangle	1	159636113	159636186	33a02c
lncRNA-seq	circle	1	161704909	161705019	984ea3
Exome-seq	triangle	1	163832773	163832846	33a02c
lncRNA-seq	circle	1	165241819	165241938	984ea3
ChIP-seq	box	1	166611385	166611483	33a02c
ChIP-seq	box	1	169337492	169337571	33a02c
ChIP-seq	box	1	170374560	170374670	33a02c
lncRNA-seq	circle	1	172205078	172205197	984ea3
ChIP-seq	box	1	175265121	175265204	33a02c
lncRNA-seq	circle	1	176796670	176796787	984ea3
Exome-seq	triangle	1	178450898	178450971	33a02c
lncRNA-seq	circle	1	181180137	181180248	984ea3
lncRNA-seq	circle	1	183250705	183250822	984ea3
lncRNA-seq	circle	1	184608382	184608488	984ea3
ChIP-seq	box	1	191372255	191372336	33a02c
ChIP-seq	box	1	197094624	197094734	33a02c
ChIP-seq	box	1	200044361	200044453	33a02c
Exome-seq	triangle	1	202742277	202742349	33a02c
ChIP-seq	box	1	206041819	206041907	33a02c
ChIP-seq	box	1	207672100	207672210	33a02c
ChIP-seq	box	1	218357817	218357927	33a02c
Exome-seq	triangle	1	220704969	220705042	33a02c
ChIP-seq	box	1	222511328	222511466	33a02c
lncRNA-seq	circle	1	225815504	225815624	984ea3
lncRNA-seq	circle	1	226817119	226817238	984ea3
lncRNA-seq	circle	1	229022618	229022727	984ea3
ChIP-seq	box	1	234082922	234082983	33a02c
Exome-seq	triangle	1	236170996	236171062	33a02c
Exome-seq	triangle	1	247135069	247135141	33a02c
RNA-seq	circle	2	11574973	11575080	1f78b4
RNA-seq	circle	2	20464861	20464960	1f78b4
RNA-seq	circle	2	22415262	22415380	1f78b4
ChIP-seq	box	2	25405012	25405094	33a02c
Exome-seq	triangle	2	27127585	27127658	33a02c
Exome-seq	triangle	2	30131071	30131144	33a02c
RNA-seq	circle	2	31304681	31304789	1f78b4
ChIP-seq	box	2	32610723	32610817	33a02c
ChIP-seq	box	2	47458317	47458413	33a02c
RNA-seq	circle	2	59402818	59402929	1f78b4
RNA-seq	circle	2	74048739	74048832	1f78b4
RNA-seq	circle	2	76853551	76853638	1f78b4
RNA-seq	circle	2	81576848	81576962	1f78b4
Exome-seq	triangle	2	84939386	84939459	33a02c
Exome-seq	triangle	2	130746380	130746452	33a02c
Exome-seq	triangle	2	143570727	143570796	33a02c
Exome-seq	triangle	2	155828696	155828769	33a02c
Exome-seq	triangle	2	156965526	156965598	33a02c
lncRNA-seq	circle	2	163061691	163061807	984ea3
lncRNA-seq	circle	2	165423187	165423302	984ea3
ChIP-seq	box	2	175740606	175740683	33a02c
ChIP-seq	box	2	177173953	177174026	33a02c
ChIP-seq	box	2	180433807	180433880	33a02c
lncRNA-seq	circle	2	188849703	188849816	984ea3
Exome-seq	triangle	2	201786055	201786126	33a02c
Exome-seq	triangle	2	203192878	203192944	33a02c
ChIP-seq	box	2	207842243	207842393	33a02c
lncRNA-seq	circle	2	209493515	209493633	984ea3
lncRNA-seq	circle	2	212108622	212108739	984ea3
ChIP-seq	box	2	218975612	218975689	33a02c
Exome-seq	triangle	2	223894558	223894631	33a02c
ChIP-seq	box	2	232286267	232286352	33a02c
ChIP-seq	box	2	241044090	241044179	33a02c
lncRNA-seq	circle	2	242173055	242173163	984ea3
RNA-seq	circle	3	12527593	12527712	1f78b4
RNA-seq	circle	3	14411151	14411261	1f78b4
ChIP-seq	box	3	15890281	15890360	33a02c
RNA-seq	circle	3	25041501	25041621	1f78b4
RNA-seq	circle	3	33508478	33508594	1f78b4
ChIP-seq	box	3	35760971	35761055	33a02c
ChIP-seq	box	3	37985898	37985975	33a02c
ChIP-seq	box	3	44130707	44130806	33a02c
Exome-seq	triangle	3	45705494	45705567	33a02c
ChIP-seq	box	3	47866048	47866123	33a02c
ChIP-seq	box	3	49032584	49032671	33a02c
ChIP-seq	box	3	50185762	50185856	33a02c
RNA-seq	circle	3	51703520	51703638	1f78b4
ChIP-seq	box	3	75762603	75762699	33a02c
Exome-seq	triangle	3	108095679	108095750	33a02c
ChIP-seq	box	3	113314337	113314435	33a02c
ChIP-seq	box	3	121597204	121597266	33a02c
ChIP-seq	box	3	129563697	129563791	33a02c
lncRNA-seq	circle	3	134911609	134911701	984ea3
lncRNA-seq	circle	3	135984967	135985087	984ea3
lncRNA-seq	circle	3	143793208	143793323	984ea3
ChIP-seq	box	3	161605069	161605167	33a02c
ChIP-seq	box	3	165371952	165372038	33a02c
ChIP-seq	box	3	169752335	169752431	33a02c
Exome-seq	triangle	3	170972711	170972784	33a02c
ChIP-seq	box	3	172307146	172307242	33a02c
lncRNA-seq	circle	3	181362344	181362459	984ea3
lncRNA-seq	circle	3	183023353	183023472	984ea3
lncRNA-seq	circle	3	184458781	184458898	984ea3
ChIP-seq	box	3	187987154	187987260	33a02c
ChIP-seq	box	3	189889262	189889348	33a02c
ChIP-seq	box	3	191030404	191030492	33a02c
ChIP-seq	box	3	196911451	196911548	33a02c
ChIP-seq	box	4	1957908	1958002	33a02c
ChIP-seq	box	4	8057927	8058008	33a02c
ChIP-seq	box	4	20138995	20139105	33a02c
ChIP-seq	box	4	36104382	36104445	33a02c
ChIP-seq	box	4	38546047	38546143	33a02c
Exome-seq	triangle	4	40603499	40603572	33a02c
ChIP-seq	box	4	83893513	83893607	33a02c
ChIP-seq	box	4	110629302	110629400	33a02c
ChIP-seq	box	4	112001186	112001252	33a02c
ChIP-seq	box	4	113788478	113788546	33a02c
ChIP-seq	box	4	148485230	148485319	33a02c
lncRNA-seq	circle	4	149698548	149698666	984ea3
lncRNA-seq	circle	4	151048161	151048277	984ea3
Exome-seq	triangle	4	156603337	156603409	33a02c
Exome-seq	triangle	4	163562056	163562127	33a02c
ChIP-seq	box	4	166526843	166526939	33a02c
lncRNA-seq	circle	4	168076089	168076204	984ea3
lncRNA-seq	circle	4	178615258	178615376	984ea3
ChIP-seq	box	4	183327439	183327525	33a02c
ChIP-seq	box	5	15988290	15988369	33a02c
rainbow-genome	triangle	5	26234295	26234368	984ea3
ChIP-seq	box	5	32430240	32430338	33a02c
RNA-seq	circle	5	34838140	34838244	1f78b4
ChIP-seq	box	5	36183750	36183847	33a02c
ChIP-seq	box	5	41511490	41511561	33a02c
ChIP-seq	box	5	53283090	53283186	33a02c
ChIP-seq	box	5	54502116	54502207	33a02c
