Chr	Start	End	CE_start	CE_end
1	0	248956422	122026459	124932724
2	0	242193529	92188145	94090557
3	0	198295559	90772458	93655574
4	0	190214555	49712061	51743951
5	0	181538259	46485900	50059807
6	0	170805979	58553888	59829934
7	0	159345973	58169653	61528020
8	0	145138636	44033744	45877265
9	0	138394717	43389635	45518558
10	0	133797422	39686682	41593521
11	0	135086622	51078348	54425074
12	0	133275309	34769407	37185252
13	0	114364328	16000000	18051248
14	0	107043718	16000000	18173523
15	0	101991189	17083673	19725254
16	0	90338345	36311158	38265669
17	0	83257441	22813679	26616164
18	0	80373285	15460899	20861206
19	0	58617616	24498980	27190874
20	0	64444167	26436232	30038348
21	0	46709983	10864560	12915808
22	0	50818468	12954788	15054318
X	0	156040895	58605579	62412542
Y	0	57227415	10316944	10544039
